"number","date","site","vencedor","perdedor"
1,1967-01-15,"Los Angeles Memorial Coliseum","Green Bay 35","Kansas City 10"
2,1968-01-14,"Orange Bowl (Miami)","Green Bay 33","Oakland 14"
3,1969-01-12,"Orange Bowl (Miami)","New York Jets 16","Baltimore 7"
4,1970-01-11,"Tulane Stadium (New Orleans)","Kansas City 23","Minnesota 7"
5,1971-01-17,"Orange Bowl (Miami)","Baltimore 16","Dallas 13"
6,1972-01-16,"Tulane Stadium (New Orleans)","Dallas 24","Miami 3"
7,1973-01-14,"Los Angeles Memorial Coliseum","Miami 14","Washington 7"
8,1974-01-13,"Rice Stadium (Houston)","Miami 24","Minnesota 7"
9,1975-01-12,"Tulane Stadium (New Orleans)","Pittsburgh 16","Minnesota 6"
10,1976-01-18,"Orange Bowl (Miami)","Pittsburgh 21","Dallas 17"
11,1977-01-09,"Rose Bowl (Pasadena, Calif.)","Oakland 32","Minnesota 14"
12,1978-01-15,"Superdome (New Orleans)","Dallas 27","Denver 10"
13,1979-01-21,"Orange Bowl (Miami)","Pittsburgh 35","Dallas 31"
14,1980-01-20,"Rose Bowl (Pasadena, Calif.)","Pittsburgh 31","Los Angeles Rams 19"
15,1981-01-25,"Superdome (New Orleans)","Oakland 27","Philadelphia 10"
16,1982-01-24,"Silverdome (Pontiac, Mich.)","San Francisco 26","Cincinnati 21"
17,1983-01-30,"Rose Bowl (Pasadena, Calif.)","Washington 27","Miami 17"
18,1984-01-22,"Tampa (Fla.) Stadium","Los Angeles Raiders 38","Washington 9"
19,1985-01-20,"Stanford (Calif.) Stadium","San Francisco 38","Miami 16"
20,1986-01-26,"Superdome (New Orleans)","Chicago 46","New England 10"
21,1987-01-25,"Rose Bowl (Pasadena, Calif.)","New York Giants 39","Denver 20"
22,1988-01-31,"Jack Murphy Stadium (San Diego)","Washington 42","Denver 10"
23,1989-01-22,"Joe Robbie Stadium (Miami)","San Francisco 20","Cincinnati 16"
24,1990-01-28,"Superdome (New Orleans)","San Francisco 55","Denver 10"
25,1991-01-27,"Tampa (Fla.) Stadium","New York Giants 20","Buffalo 19"
26,1992-01-26,"Metrodome (Minneapolis)","Washington 37","Buffalo 24"
27,1993-01-31,"Rose Bowl (Pasadena, Calif.)","Dallas 52","Buffalo 17"
28,1994-01-30,"Georgia Dome (Atlanta)","Dallas 30","Buffalo 13"
29,1995-01-29,"Joe Robbie Stadium (Miami)","San Francisco 49","San Diego 26"
30,1996-01-28,"Sun Devil Stadium (Tempe, Ariz.)","Dallas 27","Pittsburgh 17"
31,1997-01-26,"Superdome (New Orleans)","Green Bay 35","New England 21"
32,1998-01-25,"Qualcomm Stadium (San Diego)","Denver 31","Green Bay 24"
33,1999-01-31,"Pro Player Stadium (Miami)","Denver 34","Atlanta 19"
34,2000-01-30,"Georgia Dome (Atlanta)","St. Louis 23","Tennessee 16"
35,2001-01-28,"Raymond James Stadium (Tampa, Fla.)","Baltimore 34","New York Giants 7"
36,NA,"Superdome (New Orleans)","New England 20","St. Louis 17"
37,2003-01-26,"Qualcomm Stadium (San Diego)","Tampa Bay 48","Oakland 21"
38,NA,"Reliant Stadium (Houston)","New England 32","Carolina 29"
39,NA,"Alltel Stadium (Jacksonville, Fla.)","New England 24","Philadelphia 21"
40,NA,"Ford Field (Detroit)","Pittsburgh 21","Seattle 10"
41,NA,"Dolphin Stadium (Miami)","Indianapolis 29","Chicago 17"
42,NA,"University of Phoenix Stadium (Glendale, Ariz.)","New York Giants 17","New England 14"
43,NA,"Raymond James Stadium (Tampa, Fla.)","Pittsburgh 27","Arizona 23"
44,NA,"Sun Life Stadium (Miami)","New Orleans 31","Indianapolis 17"
45,NA,"Cowboys Stadium (Arlington, Texas)","Green Bay 31","Pittsburgh 25"
46,NA,"Lucas Oil Stadium (Indianapolis)","New York Giants 21","New England 17"
47,NA,"Mercedes-Benz Superdome (New Orleans)","Baltimore 34","San Francisco 31"
48,NA,"MetLife Stadium (East Rutherford, N.J.)","Seattle 43","Denver 8"
49,NA,"University of Phoenix Stadium (Glendale, Ariz.)","New England 28","Seattle 24"
50,NA,"Levi's Stadium (Santa Clara, Calif.)","Denver 24","Carolina 10"
51,NA,"NRG Stadium (Houston)","New England 34","Atlanta 28"
52,NA,"U.S. Bank Stadium (Minneapolis)","Philadelphia 41","New England 33"
53,NA,"Mercedes-Benz Stadium (Atlanta)","New England 13","Los Angeles Rams 3"
54,NA,"Hard Rock Stadium (Miami)","Kansas City 31","San Francisco 20"
